N.º,Ciudad,Provincia,Población (2022)
1,Guayaquil,Guayas,2665392
2,Quito,Pichincha,1776364
3,Santo Domingo,Santo Domingo de los Tsáchilas,373321
4,Cuenca,Azuay,361524
5,Durán,Guayas,303910
6,Machala,El Oro,301771
7,Manta,Manabí,261871
8,Portoviejo,Manabí,252248
9,Loja,Loja,214296
10,Riobamba,Chimborazo,188891
11,Ambato,Tungurahua,188338
12,Quevedo,Los Ríos,187103
13,Daule,Guayas,183399
14,Milagro,Guayas,173407
15,Esmeraldas,Esmeraldas,170529
16,Ibarra,Imbabura,168068
17,Latacunga,Cotopaxi,125651
18,La Libertad,Santa Elena,112247
19,Babahoyo,Los Ríos,112033
20,Sangolquí,Pichincha,102863
21,Montecristi,Manabí,96858
22,El Carmen,Manabí,84141
23,Samborondón,Guayas,81854
24,Chone,Manabí,76247
25,Santa Elena,Santa Elena,72598
26,Nueva Loja,Sucumbíos,65791
27,Tulcán,Carchi,64218
28,Vinces,Los Ríos,63527
29,Guaranda,Bolívar,62611
30,Santa Rosa,El Oro,61493
31,Pasaje,El Oro,60966
32,El Triunfo,Guayas,60541
33,Buena Fe,Los Ríos,59559
34,El Coca,Orellana,59104
35,General Villamil,Guayas,58768
36,Balzar,Guayas,57829
37,Huaquillas,El Oro,56303
38,Rosa Zárate,Esmeraldas,55722
39,Otavalo,Imbabura,55534
40,Jipijapa,Manabí,54639
41,Naranjal,Guayas,52002
42,Velasco Ibarra,Guayas,50951
43,Cayambe,Pichincha,49308
44,Ventanas,Los Ríos,49009
45,La Maná,Cotopaxi,47967
46,La Troncal,Cañar,46505
47,Naranjito,Guayas,44169
48,Pedernales,Manabí,43049
49,Jaramijó,Manabí,42549
50,Azogues,Cañar,41249
51,Tena,Napo,39578
52,Puyo,Pastaza,39473
53,Pedro Carbo,Guayas,38405
54,La Concordia,Santo Domingo de los Tsáchilas,37178
55,Salinas,Santa Elena,35081
56,El Guabo,El Oro,35467
57,Yaguachi,Guayas,32914
58,Machachi,Pichincha,32814
59,San Lorenzo,Esmeraldas,32591
60,Catamayo,Loja,28127
61,Atuntaqui,Imbabura,28099
62,Bahía de Caráquez,Manabí,27284
63,Macas,Morona Santiago,22621
64,Valencia,Los Ríos,51509
65,Arenillas,El Oro,23919
66,Calceta,Manabí,20011
67,Atacames,Esmeraldas,18948
68,Piñas,El Oro,18482
69,Zamora,Zamora Chinchipe,17584
70,San Miguel de Salcedo,Cotopaxi,16751
71,Lomas de Sargentillo,Guayas,16603
72,Shushufindi,Sucumbíos,16328
73,Montalvo,Los Ríos,16248
74,Pujilí,Cotopaxi,16152
75,La Joya de los Sachas,Orellana,16023
76,San Gabriel,Carchi,14497
77,Baños de Agua Santa,Tungurahua,14100
78,Gualaceo,Azuay,13843
79,Salitre,Guayas,13571
80,Yantzaza,Zamora Chinchipe,13335
81,Cariamanga,Loja,13175
82,Cañar,Cañar,13148
83,Tabacundo,Pichincha,13019
84,Balao,Guayas,12850
85,Puerto Ayora,Galápagos,12696
86,Puerto López,Manabí,12598
87,Macará,Loja,12454
88,Santa Ana,Manabí,11918
89,Rocafuerte,Manabí,11848
90,Cumandá,Chimborazo,11442
91,Pelileo,Tungurahua,11403
92,Tosagua,Manabí,11317
93,Santa Lucía,Guayas,10924
94,Sucúa,Morona Santiago,10846
95,Cotacachi,Imbabura,10526
96,San Vicente,Manabí,10404
97,Palestina,Guayas,10392
98,Camilo Ponce Enríquez,Azuay,10015
99,Narcisa de Jesús,Guayas,10010
100,Zaruma,El Oro,10005
101,Saquisilí,Cotopaxi,9883
102,Píllaro,Tungurahua,9816
103,Portovelo,El Oro,9764
104,Puebloviejo,Los Ríos,9646
105,Mocache,Los Ríos,9535
106,Gualaquiza,Morona Santiago,9157
107,Guano,Chimborazo,9136
108,San Miguel,Bolívar,8806
109,Paute,Azuay,8766
110,Simón Bolívar,Guayas,8696
111,Flavio Alfaro,Manabí,8312
112,Isidro Ayora,Guayas,8275
113,Caluma,Bolívar,7884
114,Catacocha,Loja,7831
115,Coronel Marcelino Maridueña,Guayas,7796
116,Paján,Manabí,7686
117,Colimes,Guayas,7619
118,Archidona,Napo,7353
119,Junín,Manabí,7332
120,Puerto Baquerizo Moreno,Galápagos,7290
121,Palenque,Los Ríos,7258
122,Catarama,Los Ríos,7216
123,Pedro Vicente Maldonado,Pichincha,7162
124,Echeandía,Bolívar,7138
125,Baba,Los Ríos,6746
126,Bucay,Guayas,6738
127,Sucre,Manabí,6607
128,Santa Isabel,Azuay,6194
129,Quinsaloma,Los Ríos,6161
130,Alausí,Chimborazo,6071
131,Jujan,Guayas,6035
132,Alamor,Loja,5981
133,Pimampiro,Imbabura,5848
134,Palora,Morona Santiago,5748
135,Biblián,Cañar,5728
136,Muisne,Esmeraldas,5574
137,Chambo,Chimborazo,5462
138,San Miguel de Los Bancos,Pichincha,5396
139,Loreto,Orellana,5377
140,El Pangui,Zamora Chinchipe,5340
141,Jama,Manabí,5259
142,El Tambo,Cañar,5202
143,El Ángel,Carchi,5181
144,Marcabelí,El Oro,4973
145,Valdez,Esmeraldas,4956
146,Saraguro,Loja,4656
147,Balsas,El Oro,4500
148,Huaca,Carchi,4492
149,Celica,Loja,4486
150,Urcuquí,Imbabura,4480
151,Chordeleg,Azuay,4445
152,Pichincha,Manabí,4406
153,Chimbo,Bolívar,4354
154,El Chaco,Napo,4353
155,Girón,Azuay,4353
156,Pallatanga,Chimborazo,4266
157,Zumba,Zamora Chinchipe,4154
158,Sígsig,Azuay,4029
159,Rioverde,Esmeraldas,4010
160,Gral. Leonidas Plaza Gutiérrez (Limón),Morona Santiago,3982
161,Puerto Quito,Pichincha,3833
162,Chunchi,Chimborazo,3799
163,Cevallos,Tungurahua,3754
164,Mira,Carchi,3691
165,Zapotillo,Loja,3599
166,Bolívar,Carchi,3377
167,Quero,Tungurahua,3269
168,Chillanes,Bolívar,3251
169,Guamote,Chimborazo,3076
170,Zumbi,Zamora Chinchipe,2930
171,Sigchos,Cotopaxi,2816
172,Villa La Unión,Chimborazo,2785
173,Puerto Villamil,Galápagos,2755
174,Olmedo,Manabí,2684
175,Pindal,Loja,2660
176,Guayzimi,Zamora Chinchipe,2519
177,Patate,Tungurahua,2514
178,El Dorado de Cascales,Sucumbíos,2510
179,Arajuno,Pastaza,2377
180,Palanda,Zamora Chinchipe,2353
181,Santiago de Méndez,Morona Santiago,2349
182,Lumbaqui,Sucumbíos,2083
183,Amaluza,Loja,2073
184,Puerto El Carmen de Putumayo,Sucumbíos,2012
185,Las Naves,Bolívar,1984
186,Gonzanamá,Loja,1973
187,Baeza,Napo,1972
188,El Corazón,Cotopaxi,1872
189,Taisha,Morona Santiago,1864
190,Santa Clara,Pastaza,1831
191,Paccha,El Oro,1769
192,Tarapoa,Sucumbíos,1728
193,28 de Mayo,Zamora Chinchipe,1626
194,San Juan Bosco,Morona Santiago,1613
195,Paquisha,Zamora Chinchipe,1583
196,La Victoria,El Oro,1581
197,Tisaleo,Tungurahua,1561
198,Mocha,Tungurahua,1516
199,Penipe,Chimborazo,2400
200,San Fernando,Azuay,1407
201,Logroño,Morona Santiago,1382
202,Chaguarpamba,Loja,1342
203,Huamboya,Morona Santiago,1312
204,Nabón,Azuay,1276
205,Carlos Julio Arosemena Tola,Napo,1273
206,Guachapala,Azuay,1210
207,Santiago,Morona Santiago,1154
208,Pablo Sexto,Morona Santiago,1031
209,Suscal,Cañar,1012
210,Oña,Azuay,989
211,Quilanga,Loja,934
212,Chilla,El Oro,910
213,Sozoranga,Loja,908
214,Pucará,Azuay,855
215,Mera,Pastaza,853
216,La Bonita,Sucumbíos,746
217,Olmedo,Loja,745
218,Sevilla de Oro,Azuay,732
219,Tiputini,Orellana,657
220,Déleg,Cañar,645
221,El Pan,Azuay,503
