ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,Year,F_TL,M_TL,T_TL,F_00_00,F_01_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_00,M_01_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_00,T_01_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,AZUAY,EC01,2020,459159,422235,881394,7900,31725,40208,38929,39010,39482,38884,36273,32571,28512,24824,21962,19339,16429,13479,10873,8351,10408,7900,31721,40312,40326,40061,40552,39627,35590,29775,23939,19465,16552,14364,12161,9907,7746,5602,6635,15800,63446,80520,79255,79071,80034,78511,71863,62346,52451,44289,38514,33703,28590,23386,18619,13953,17043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,BOLIVAR,EC02,2020,107504,102429,209933,2093,8997,11969,11666,10279,8613,7266,6554,6128,5693,5200,4722,4208,3660,3164,2739,2173,2380,2199,9428,12483,12134,10644,8720,6932,5819,5077,4579,4289,4066,3725,3222,2724,2357,1893,2138,4292,18425,24452,23800,20923,17333,14198,12373,11205,10272,9489,8788,7933,6882,5888,5096,4066,4518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,CAÑAR,EC03,2020,147041,134355,281396,2707,11228,14389,14125,13389,12855,12171,10967,9455,8074,7043,6272,5590,4846,4134,3515,2818,3463,2844,11804,15096,14611,13713,12936,11878,10055,7860,6143,5136,4558,4082,3559,3047,2599,2044,2390,5551,23032,29485,28736,27102,25791,24049,21022,17315,14217,12179,10830,9672,8405,7181,6114,4862,5853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,CARCHI,EC04,2020,94102,92767,186869,1577,6427,8320,8603,8291,7472,6813,6591,6400,6056,5620,5033,4249,3461,2857,2386,1850,2096,1659,6765,8724,8971,8750,7924,7092,6644,6188,5600,5087,4561,3843,3068,2474,2038,1585,1794,3236,13192,17044,17574,17041,15396,13905,13235,12588,11656,10707,9594,8092,6529,5331,4424,3435,3890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,COTOPAXI,EC05,2020,251010,237706,488716,5035,20234,25587,25483,23575,21130,19013,17497,16187,14590,12687,10894,9422,8066,6792,5632,4398,4788,5269,21124,26587,26131,24130,21530,18813,16354,14201,12250,10613,9205,7855,6540,5414,4468,3414,3808,10304,41358,52174,51614,47705,42660,37826,33851,30388,26840,23300,20099,17277,14606,12206,10100,7812,8596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,CHIMBORAZO,EC06,2020,273201,250803,524004,4763,19300,25065,25808,24834,23234,21365,19426,17575,15759,14038,12618,11310,9998,8736,7414,5742,6216,4999,20210,26193,26846,25692,23624,20611,17345,14552,12433,10982,9957,8950,7843,6676,5443,4045,4402,9762,39510,51258,52654,50526,46858,41976,36771,32127,28192,25020,22575,20260,17841,15412,12857,9787,10618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,EL ORO,EC07,2020,354069,361682,715751,6083,24402,31506,32536,31804,29843,27872,26503,25272,23344,20784,18175,15538,12727,9940,7393,5083,5264,6381,25578,33058,34282,33669,31530,29150,27239,25333,22816,20297,18006,15524,12647,9693,6991,4644,4844,12464,49980,64564,66818,65473,61373,57022,53742,50605,46160,41081,36181,31062,25374,19633,14384,9727,10108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,ESMERALDAS,EC08,2020,318952,324702,643654,7018,28418,36313,36025,32225,27430,23884,21861,20148,17732,15107,12967,11091,9130,7109,5278,3657,3559,7368,29872,38262,38259,34845,29205,23858,20517,18500,16531,14596,12980,11424,9577,7410,5247,3356,2895,14386,58290,74575,74284,67070,56635,47742,42378,38648,34263,29703,25947,22515,18707,14519,10525,7013,6454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,GUAYAS,EC09,2020,2215071,2172363,4387434,38862,155316,196269,198005,192779,185133,174869,164586,157087,146931,131676,116182,101301,83893,64488,45996,30267,31431,40666,162291,204794,206760,200419,188138,173493,161252,151579,139198,123691,108157,92875,75723,56892,38988,24154,23293,79528,317607,401063,404765,393198,373271,348362,325838,308666,286129,255367,224339,194176,159616,121380,84984,54421,54724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,IMBABURA,EC10,2020,244051,232206,476257,4371,17365,21829,22467,22569,20924,18919,17508,16354,14958,13472,12017,10354,8540,7045,5846,4485,5028,4592,18250,22942,23573,23471,21523,18923,16581,14545,12736,11368,10199,8790,7202,5784,4578,3392,3757,8963,35615,44771,46040,46040,42447,37842,34089,30899,27694,24840,22216,19144,15742,12829,10424,7877,8785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
