Field,Label,Value
created,Created,2023-07-10T17:51:28.825757
description,Description,Release 2023-06-28
format,File Format,Geopackage
download_url,Download URL,https://geodata-eu-central-1-kontur-public.s3.amazonaws.com/kontur_datasets/kontur_boundaries_EC_20230628.gpkg.gz
id,Resource ID,4f45ba5b-3192-4505-87c1-cfecfdaae427
last_modified,Updated,2023-07-10T17:51:28.817643
metadata_modified,Metadata Updated,2025-08-26T13:27:20.098385
microdata,Microdata,False
dataset_id,Dataset ID,6eb95a77-c839-4afe-8625-4959a6846b2f
resource_type,Resource Type,api
name,Resource Name,kontur_boundaries_EC_20230628.gpkg
mimetype,MIME Type,
size,Size,15.8M
